Where,Euler1,Euler2,Euler3,Time,Input
Init,0,0,0,0.003890991,null
Init,0,0,0,0.003850043,null
Init,0,0,0,0.004046977,null
Init,0,0,0,0.004145026,null
Init,0,0,0,0.003804982,null
Init,0,0,0,0.004284978,null
Init,0,0,0,0.003880024,null
Init,0,0,0,0.00396502,null
Init,0,0,0,0.003989995,null
Init,0,0,0,0.003946006,null
Init,0,0,0,0.003930986,null
Init,0,0,0,0.004144967,null
Init,0,0,0,0.003848016,null
Init,0,0,0,0.003912985,null
Init,0,0,0,0.004181027,null
Init,0,0,0,0.004061997,null
Init,0,0,0,0.004280984,null
Init,0,0,0,0.003930032,null
Init,0,0,0,0.003904998,null
Init,0,0,0,0.003844976,null
Init,0,0,0,0.004036009,null
Init,0,0,0,0.004257023,null
Init,0,0,0,0.003763974,null
Init,0,0,0,0.003908992,null
Init,0,0,0,0.004067004,null
Init,0,0,0,0.003924012,null
Init,0,0,0,0.004203975,null
Init,0,0,0,0.004131019,null
Init,0,0,0,0.003813982,null
Init,0,0,0,0.003814042,null
Init,0,0,0,0.003977954,null
Init,0,0,0,0.003875017,null
Init,0,0,0,0.004076004,null
Init,0,0,0,0.004154027,null
Init,0,0,0,0.003838956,null
Init,0,0,0,0.004236042,null
Init,0,0,0,0.004071951,null
Init,0,0,0,0.003843009,null
Init,0,0,0,0.004195035,null
Init,0,0,0,0.003802955,null
Init,0,0,0,0.004128039,null
Init,0,0,0,0.004019976,null
Init,0,0,0,0.003816009,null
Init,0,0,0,0.003992021,null
Init,0,0,0,0.004265964,null
Init,0,0,0,0.003868043,null
Init,0,0,0,0.004097998,null
Init,0,0,0,0.003856003,null
